Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
2273,34.0,0,1,9.0,2,2,2,4.0,0,3.0,1,4.0,0,1,0,0.0,1,17979.0
73,32.0,1,1,6.0,2,2,3,3.0,1,4.0,0,2.0,0,3,0,0.0,2,21220.0
167,30.0,1,3,11.0,2,1,2,3.0,3,3.0,0,3.0,0,4,1,1.0,3,24419.0
4725,39.0,1,3,9.0,3,2,3,4.0,3,4.0,3,2.0,0,4,1,2.0,3,26029.0
4219,37.0,0,1,31.0,2,1,3,4.0,1,4.0,1,2.0,0,3,1,2.0,2,24352.0
2620,34.0,1,1,9.0,2,2,3,4.0,0,3.0,2,2.0,0,3,0,2.0,1,21178.0
3015,27.0,0,1,7.0,2,1,4,6.0,0,3.0,1,5.0,0,4,1,3.0,1,23042.0
1106,30.0,1,3,6.0,2,2,3,4.0,1,5.0,1,2.0,0,4,1,1.0,2,24714.0
4541,53.0,0,1,32.0,3,1,3,5.0,4,3.0,1,5.0,0,5,0,2.0,0,32504.0
3334,55.0,0,1,7.0,2,1,3,4.0,3,3.0,1,2.0,0,5,1,2.0,3,29180.0
93,46.0,0,1,6.0,3,2,2,4.0,3,5.0,0,3.0,1,2,1,1.0,3,25673.0
4519,39.0,0,1,19.0,2,2,2,5.0,1,5.0,1,4.0,0,5,1,1.0,2,24966.0
112,54.0,0,2,32.0,2,1,1,2.0,4,3.0,2,3.0,1,3,1,0.0,0,32328.0
1287,42.0,1,1,19.0,3,2,3,1.0,1,5.0,1,6.0,0,4,1,0.0,2,20538.0
3583,33.0,1,1,12.0,2,1,3,2.0,0,3.0,1,5.0,0,5,1,2.0,1,21990.0
1551,35.0,1,1,6.0,3,2,1,4.0,0,3.0,2,2.0,0,4,1,0.0,1,17859.0
1284,39.0,1,1,16.0,3,2,3,3.0,3,3.0,3,1.0,0,3,1,0.0,3,28464.0
3232,29.0,1,1,17.0,2,1,3,4.0,1,3.0,3,5.0,0,4,1,2.0,2,22338.0
2887,23.0,0,1,11.0,1,2,3,5.0,0,3.0,3,7.0,0,5,1,1.0,1,22572.0
294,37.0,0,1,15.0,3,2,2,3.0,0,3.0,0,2.0,1,2,0,0.0,1,17326.0
4606,33.0,1,1,10.0,3,1,4,4.0,1,5.0,1,3.0,0,1,1,1.0,2,25403.0
4015,33.0,1,1,7.0,2,2,4,4.0,0,5.0,3,3.0,0,1,0,2.0,1,21634.0
4115,50.0,0,1,25.0,2,2,4,4.0,1,3.0,1,3.0,1,1,0,1.0,2,25482.0
2067,42.0,1,1,6.0,2,1,2,4.0,1,3.0,1,1.0,1,3,0,0.0,2,21062.0
4801,43.0,0,1,33.0,3,1,3,4.0,3,5.0,1,5.0,1,3,0,1.0,3,31869.0
1383,36.0,0,1,15.0,2,2,3,1.0,0,4.0,1,2.0,0,5,1,0.0,1,17810.0
1350,27.0,1,3,8.0,3,1,2,1.0,1,3.0,3,1.0,0,1,0,1.0,2,21500.0
4288,29.0,1,3,16.0,2,2,4,4.0,1,3.0,3,3.0,0,3,1,2.0,2,23931.0
2690,34.0,1,1,12.0,2,1,4,5.0,0,3.0,0,3.0,0,2,0,3.0,1,21589.0
3576,41.0,1,3,21.0,2,1,3,4.0,1,5.0,1,3.0,0,3,0,2.0,2,23317.0
4866,32.0,1,3,20.0,3,2,4,5.0,1,5.0,1,7.0,1,1,1,1.0,2,20980.0
1947,50.0,0,2,9.0,3,2,3,3.0,2,4.0,1,2.0,0,1,1,2.0,4,33200.0
1940,24.0,0,3,30.0,3,2,2,3.0,0,3.0,1,1.0,0,4,1,1.0,1,17400.0
4511,43.0,1,1,7.0,2,1,3,5.0,1,3.0,1,2.0,1,3,0,1.0,2,24740.0
1148,39.0,1,1,16.0,3,2,3,3.0,1,5.0,1,3.0,0,5,1,2.0,2,20377.0
1740,55.0,1,1,6.0,3,2,2,3.0,2,5.0,2,1.0,1,1,1,1.0,4,34045.0
4849,33.0,0,1,10.0,2,0,3,4.0,0,3.0,3,3.0,0,4,1,1.0,1,24887.0
3699,34.0,1,3,23.0,2,0,4,4.0,3,5.0,3,4.0,1,5,0,1.0,3,27242.0
4027,25.0,1,1,25.0,2,2,3,4.0,0,3.0,1,2.0,0,4,0,1.0,1,21452.0
1613,30.0,1,1,24.0,2,1,3,3.0,0,3.0,2,2.0,0,1,1,2.0,1,17632.0
4206,32.0,0,3,12.0,3,1,3,4.0,0,4.0,1,3.0,0,3,0,1.0,1,21467.0
2757,34.0,0,1,12.0,2,1,4,4.0,3,4.0,0,8.0,0,3,1,3.0,3,30556.0
2191,50.0,1,1,30.0,2,2,3,3.0,4,3.0,1,4.0,1,4,1,2.0,0,28973.0
673,33.0,1,1,6.0,2,2,3,4.0,0,5.0,2,4.0,1,4,0,0.0,1,17799.0
3264,36.0,0,3,18.0,3,2,3,4.0,1,3.0,1,3.0,0,5,0,1.0,2,23646.0
2645,50.0,0,1,25.0,2,2,4,4.0,1,3.0,1,3.0,1,2,0,2.0,2,25482.0
3648,49.0,0,3,14.0,3,1,4,4.0,0,3.0,1,4.0,1,4,1,2.0,1,21333.0
3412,37.0,0,3,14.0,3,1,3,2.0,1,5.0,0,4.0,0,1,1,1.0,2,23317.0
143,30.0,1,1,24.0,2,1,3,3.0,0,3.0,2,2.0,0,2,1,0.0,1,17632.0
3867,23.0,1,1,7.0,2,2,4,4.0,0,3.0,3,2.0,0,3,0,3.0,1,22053.0
1651,34.0,1,1,33.0,3,1,3,3.0,0,4.0,2,3.0,0,3,0,0.0,1,17311.0
4005,52.0,1,3,28.0,3,2,4,4.0,1,3.0,3,2.0,1,5,0,3.0,2,24119.0
3192,27.0,0,3,36.0,3,2,4,6.0,1,5.0,3,2.0,0,3,0,1.0,2,23647.0
706,40.0,0,3,30.0,2,0,3,1.0,4,4.0,3,5.0,1,3,1,2.0,0,28194.0
891,44.0,1,1,8.0,2,1,3,1.0,0,3.0,0,2.0,0,4,1,0.0,1,17011.0
4676,27.0,0,1,9.0,2,2,3,4.0,0,5.0,1,8.0,1,5,0,1.0,1,20720.0
3308,42.0,0,1,12.0,2,2,4,5.0,0,5.0,1,8.0,0,3,1,1.0,1,20785.0
2939,28.0,1,3,9.0,3,2,3,4.0,0,5.0,1,2.0,0,5,0,2.0,1,21719.0
4588,59.0,1,1,12.0,1,1,3,5.0,3,4.0,1,4.0,1,5,1,2.0,3,29230.0
3430,40.0,1,3,28.0,2,2,3,5.0,1,3.0,0,5.0,1,1,0,2.0,2,24798.0
3767,29.0,0,2,7.0,2,2,3,4.0,0,3.0,1,3.0,0,4,0,2.0,1,21384.0
3004,35.0,1,1,15.0,2,1,3,4.0,1,5.0,1,5.0,0,5,1,1.0,2,23799.0
1039,34.0,1,2,15.0,1,1,2,3.0,0,3.0,0,2.0,0,1,1,0.0,1,17742.0
1018,36.0,1,1,10.0,2,2,2,4.0,1,3.0,2,2.0,0,5,1,1.0,2,20810.0
147,41.0,0,1,16.0,2,2,3,4.0,4,5.0,1,5.0,0,2,1,0.0,0,32181.0
1563,46.0,0,1,6.0,3,2,2,4.0,3,5.0,1,3.0,1,1,1,1.0,3,25673.0
2904,27.0,1,3,36.0,3,2,3,4.0,1,3.0,1,7.0,0,5,1,1.0,2,22984.0
4732,32.0,0,3,27.0,2,2,4,2.0,0,3.0,1,2.0,0,5,1,1.0,1,21469.0
3961,38.0,1,1,26.0,2,2,4,4.0,0,4.0,1,6.0,0,4,0,2.0,1,21700.0
4035,34.0,0,3,29.0,3,2,4,4.0,1,4.0,1,2.0,0,1,0,1.0,2,24824.0
962,51.0,1,2,11.0,2,2,2,3.0,4,4.0,1,2.0,1,3,1,1.0,0,29026.0
553,40.0,1,1,8.0,3,1,2,4.0,0,3.0,2,1.0,1,3,1,1.0,1,17342.0
1845,49.0,1,1,13.0,2,2,2,4.0,3,3.0,3,1.0,0,1,1,0.0,3,25965.0
3765,48.0,1,1,16.0,2,1,4,4.0,0,3.0,2,6.0,0,3,1,1.0,1,20783.0
1724,29.0,1,3,26.0,3,2,2,3.0,1,3.0,1,3.0,0,1,1,0.0,2,21931.0
4384,25.0,0,3,31.0,3,2,3,4.0,0,3.0,1,2.0,0,4,1,2.0,1,21078.0
2340,35.0,1,3,23.0,2,2,3,3.0,1,5.0,1,4.0,1,3,0,2.0,2,23966.0
4257,30.0,1,3,17.0,3,1,3,5.0,1,4.0,1,3.0,1,5,1,1.0,2,26946.0
1662,35.0,1,1,29.0,2,2,2,4.0,1,3.0,1,4.0,1,4,1,0.0,2,20916.0
1847,36.0,1,1,8.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17543.0
1126,50.0,1,3,5.0,3,2,2,3.0,2,3.0,1,5.0,1,5,0,1.0,4,34331.0
4689,44.0,1,3,32.0,3,2,4,5.0,3,3.0,1,7.0,0,4,1,2.0,3,29476.0
811,38.0,1,3,8.0,3,2,2,3.0,3,4.0,3,1.0,0,4,1,0.0,3,22351.0
3624,37.0,1,1,14.0,2,2,4,4.0,0,4.0,2,4.0,0,1,0,3.0,1,20691.0
2754,32.0,1,2,9.0,2,2,4,5.0,1,5.0,0,5.0,0,3,0,2.0,2,25088.0
2890,42.0,0,3,17.0,2,2,3,4.0,1,3.0,3,2.0,0,2,0,2.0,2,24908.0
523,50.0,1,1,34.0,3,2,3,2.0,0,3.0,0,2.0,1,2,1,2.0,1,18221.0
4393,25.0,0,1,14.0,2,1,3,4.0,0,3.0,1,3.0,1,4,0,1.0,1,21564.0
853,19.0,1,1,15.0,2,2,2,3.0,0,5.0,2,2.0,0,3,0,0.0,1,17552.0
4598,41.0,1,3,17.0,3,2,4,5.0,3,4.0,1,4.0,0,4,0,1.0,3,28383.0
2909,47.0,0,1,25.0,3,1,3,4.0,3,3.0,0,7.0,0,3,1,1.0,3,29205.0
